FID  BirthYear MumID
1 775 1998 2076
1 115 1990 2097
1 117 1990 2105
1 44 1991 2120
1 134 1991 2128
1 564 1996 2146
1 758 1998 2146
1 267 1993 2146
1 135 1991 2146
1 136 1991 2146
1 204 1992 2146
1 472 1995 2146
1 450 1994 2146
1 759 1998 2146
1 473 1995 2146
1 184 1991 2154
1 4 1995 2154
1 761 1998 2154
1 655 1997 2154
1 575 1996 2163
1 133 1991 2163
1 574 1996 2163
1 274 1993 2163
1 394 1994 2163
1 502 1995 2163
1 212 1992 2164
1 262 1993 2164
1 263 1993 2164
1 247 1992 2164
1 384 1994 2165
1 130 1991 2165
1 104 1990 2165
1 688 1997 2167
1 313 1993 2167
1 566 1996 2167
1 389 1994 2167
1 807 1998 2167
1 478 1995 2167
1 232 1992 2167
1 164 1991 2168
1 412 1994 2168
1 318 1993 2168
1 240 1992 2168
1 9 1997 2168
1 586 1996 2169
1 113 1990 2169
1 235 1992 2169
1 679 1997 2169
1 308 1993 2169
1 391 1994 2169
1 530 1995 2170
1 114 1990 2171
1 150 1991 2172
1 271 1993 2172
1 592 1996 2172
1 481 1995 2172
1 388 1994 2172
1 201 1992 2172
1 108 1990 2175
1 190 1991 2175
1 12 1994 2176
1 3 1995 2176
1 257 1993 2176
1 128 1991 2176
1 625 1997 2176
1 538 1996 2176
1 105 1990 2177
1 237 1992 2177
1 167 1991 2177
1 323 1993 2177
1 398 1994 2177
1 497 1995 2177
1 712 1997 2177
1 269 1993 2178
1 573 1996 2178
1 482 1995 2178
1 572 1996 2178
1 693 1997 2178
1 149 1991 2178
1 692 1997 2178
1 120 1990 2214
1 842 1998 2214
1 843 1998 2214
1 306 1993 2214
1 174 1991 2214
1 615 1996 2214
1 307 1993 2214
1 451 1994 2218
1 2 1998 2218
1 484 1995 2218
1 197 1991 2218
1 694 1997 2223
1 917 1999 2223
1 1003 2000 2223
1 918 1999 2223
1 690 1997 2236
1 292 1993 2236
1 409 1994 2236
1 512 1995 2236
1 552 1996 2245
1 126 1991 2245
1 867 1999 2245
1 470 1995 2245
1 1016 2002 2245
1 767 1998 2245
1 624 1997 2245
1 368 1994 2245
1 342 1993 2245
1 304 1993 2252
1 183 1991 2252
1 640 1997 2260
1 211 1992 2260
1 547 1996 2260
1 385 1994 2260
1 261 1993 2260
1 773 1998 2260
1 489 1995 2260
1 283 1993 2262
1 869 1999 2262
1 282 1993 2262
1 799 1998 2262
1 929 2000 2262
1 638 1997 2262
1 800 1998 2262
1 558 1996 2262
1 930 2000 2262
1 195 1991 2262
1 637 1997 2262
1 557 1996 2262
1 493 1995 2262
1 403 1994 2262
1 205 1992 2262
1 494 1995 2262
1 166 1991 2272
1 561 1996 2275
1 792 1998 2275
1 163 1991 2275
1 461 1994 2278
1 697 1997 2278
1 151 1991 2278
1 339 1993 2278
1 834 1998 2278
1 147 1991 2291
1 520 1995 2292
1 840 1998 2292
1 354 1993 2292
1 241 1992 2292
1 720 1997 2292
1 462 1994 2292
1 193 1991 2302
1 196 1991 2315
1 202 1992 2323
1 968 2000 2323
1 823 1998 2323
1 417 1994 2323
1 467 1995 2323
1 294 1993 2323
1 416 1994 2323
1 824 1998 2323
1 293 1993 2323
1 969 2000 2323
1 868 1999 2323
1 649 1997 2323
1 650 1997 2323
1 456 1994 2339
1 455 1994 2339
1 50 1993 2339
1 466 1995 2341
1 380 1994 2341
1 148 1991 2341
1 797 1998 2342
1 422 1994 2342
1 526 1995 2342
1 297 1993 2349
1 358 1993 2351
1 281 1993 2353
1 763 1998 2353
1 764 1998 2353
1 378 1994 2353
1 709 1997 2353
1 507 1995 2353
1 319 1993 2355
1 399 1994 2356
1 253 1992 2356
1 352 1993 2358
1 370 1994 2358
1 733 1997 2358
1 734 1997 2358
1 411 1994 2359
1 496 1995 2359
1 340 1993 2359
1 258 1993 2360
1 469 1995 2360
1 365 1994 2360
1 143 1991 2361
1 490 1995 2361
1 719 1997 2361
1 832 1998 2361
1 386 1994 2361
1 545 1996 2361
1 383 1994 2362
1 643 1997 2362
1 821 1998 2362
1 139 1991 2363
1 219 1992 2363
1 550 1996 2363
1 475 1995 2363
1 371 1994 2363
1 652 1997 2363
1 264 1993 2363
1 948 2000 2364
1 53 1993 2364
1 220 1992 2364
1 465 1995 2364
1 560 1996 2364
1 645 1997 2364
1 372 1994 2364
1 379 1994 2365
1 513 1995 2365
1 361 1993 2365
1 514 1995 2365
1 30 1997 2365
1 680 1997 2366
1 295 1993 2366
1 58 1991 2366
