FID  CapYear MumID
1 2227 2018 6837
1 2228 2018 9093
1 2229 2018 8721
1 2230 2018 8744
1 2231 2018 9822
1 2232 2018 10220
1 2233 2018 9207
1 2234 2018 7205
1 2235 2018 9216
1 2236 2018 10180
1 2237 2018 7133
1 2238 2018 8749
1 2239 2018 8751
1 2240 2018 6583
1 2241 2018 10191
1 2242 2018 9060
1 2243 2018 10293
1 2244 2018 10443
1 2245 2018 9023
1 2246 2018 7560
1 2247 2018 10237
1 2248 2018 10347
1 2249 2018 11388
1 2250 2018 8780
1 2251 2018 8794
1 2252 2018 9030
1 2253 2018 11389
1 2254 2018 11389
1 2255 2018 8510
1 2256 2018 7576
1 2257 2018 7142
1 2258 2018 8790
1 2259 2018 9833
1 2260 2018 10575
1 2261 2018 11075
1 2262 2018 7587
1 2263 2018 10438
1 2264 2018 9827
1 2265 2018 8258
1 2266 2018 6945
1 2267 2018 8758
1 2268 2018 8506
1 2269 2018 6990
1 2270 2018 8811
1 2271 2018 8811
1 2272 2018 7486
1 2273 2018 9016
1 2274 2018 8327
1 2275 2018 10243
1 2276 2018 9029
1 2277 2018 6969
1 2278 2018 9805
1 2279 2018 9805
1 2280 2018 6943
1 2281 2018 10448
1 2282 2018 9074
1 2283 2018 11386
1 2284 2018 8730
1 2285 2018 11390
1 2286 2018 7574
1 2287 2018 7542
1 2288 2018 9075
1 2289 2018 9784
1 2290 2018 9795
1 2291 2019 9257
1 2292 2019 8714
1 2293 2019 9165
1 2294 2019 7454
1 2295 2019 9822
1 2296 2019 9246
1 2297 2019 11389
1 2298 2019 9207
1 2299 2019 9207
1 2300 2019 7576
1 2301 2019 10613
1 2302 2019 9769
1 2303 2019 10642
1 2304 2019 10347
1 2305 2019 8486
1 2306 2019 7205
1 2307 2019 6644
1 2308 2019 11076
1 2309 2019 10515
1 2310 2019 7142
1 2311 2019 8751
1 2312 2019 10567
1 2313 2019 8731
1 2314 2019 8731
1 2315 2019 10231
1 2316 2019 9060
1 2317 2019 10575
1 2318 2019 9083
1 2319 2019 7486
1 2320 2019 10220
1 2321 2019 8780
1 2322 2019 10180
1 2323 2019 9023
1 2324 2019 9817
1 2325 2019 7560
1 2326 2019 7560
1 2327 2019 10293
1 2328 2019 10255
1 2329 2019 8758
1 2330 2019 10527
1 2331 2019 11597
1 2332 2019 9841
1 2333 2019 9841
1 2334 2019 9805
1 2335 2019 9805
1 2336 2019 8510
1 2337 2019 11541
1 2338 2019 10351
1 2339 2019 10594
1 2340 2019 10594
1 2341 2019 10622
1 2342 2019 9784
1 2343 2019 11806
1 2344 2019 9216
1 2345 2019 10190
1 2346 2019 8730
1 2347 2019 10237
1 2348 2019 8327
1 2349 2019 9827
1 2350 2019 7458
1 2351 2019 9169
1 2352 2019 9795
1 2353 2019 8506
1 2354 2019 8506
1 2355 2019 6969
1 2356 2019 6969
1 2357 2019 8811
1 2358 2019 8811
1 2359 2019 8744
1 2360 2019 10618
1 2361 2019 11561
1 2362 2019 9074
1 2363 2019 9904
1 2364 2019 6663
1 2365 2019 6663
1 2366 2019 11077
1 2367 2019 6967
1 2368 2019 9093
1 2369 2019 8807
1 2370 2019 10626
1 2371 2019 10626
1 2372 2020 8798
1 2373 2020 9822
1 2374 2020 8729
1 2375 2020 8730
1 2376 2020 10220
1 2377 2020 10527
1 2378 2020 9827
1 2379 2020 8327
1 2380 2020 10594
1 2381 2020 10594
1 2382 2020 8751
1 2383 2020 8751
1 2384 2020 11620
1 2385 2020 7542
1 2386 2020 10632
1 2387 2020 10443
1 2388 2020 11568
1 2389 2020 11076
1 2390 2020 10347
1 2391 2020 11202
1 2392 2020 9246
1 2393 2020 11189
1 2394 2020 8721
1 2395 2020 10633
1 2396 2020 9817
1 2397 2020 11805
1 2398 2020 11508
1 2399 2020 11621
1 2400 2020 10180
1 2401 2020 11228
1 2402 2020 10438
1 2403 2020 10438
1 2404 2020 11812
1 2405 2020 11806
1 2406 2020 7587
1 2407 2020 11571
1 2408 2020 9060
1 2409 2020 11390
1 2410 2020 11575
1 2411 2020 9086
1 2412 2020 8510
1 2413 2020 10549
1 2414 2020 9904
1 2415 2020 8780
1 2416 2020 10293
1 2417 2020 11389
1 2418 2020 9769
1 2419 2020 10613
1 2420 2021 10191
1 2421 2021 10191
1 2422 2021 8714
1 2423 2021 11222
1 2424 2021 11891
1 2425 2021 -2703
1 2426 2021 9023
1 2427 2021 11388
1 2428 2021 11393
1 2429 2021 11819
1 2430 2021 11508
1 2431 2021 10642
1 2432 2021 10443
1 2433 2021 8759
1 2434 2021 11568
1 2435 2021 11803
1 2436 2021 11549
1 2437 2021 11805
1 2438 2021 8751
1 2439 2021 9211
1 2440 2021 10567
1 2441 2021 10575
1 2442 2021 11635
1 2443 2021 11521
1 2444 2021 11915
1 2445 2021 10347
1 2446 2021 11075
1 2447 2021 11075
1 2448 2021 9759
1 2449 2021 10251
1 2450 2021 8730
1 2451 2021 11998
1 2452 2021 11228
1 2453 2021 11606
1 2454 2021 10527
1 2455 2021 11571
1 2456 2021 11618
1 2457 2021 11604
1 2458 2021 11582
1 2459 2021 11812
1 2460 2021 11202
1 2461 2021 11569
1 2462 2021 10180
1 2463 2021 9240
1 2464 2021 10220
1 2465 2021 10518
1 2466 2021 9030
1 2467 2021 9216
1 2468 2021 11949
1 2469 2021 9075
1 2470 2021 8790
1 2471 2021 8790
1 2472 2021 11799
1 2473 2021 9827
1 2474 2021 10438
1 2475 2021 10438
1 2476 2021 11560
1 2477 2021 8811
1 2478 2021 7542
1 2479 2021 10216
1 2480 2021 8258
1 2481 2021 9795
1 2482 2021 11631
1 2483 2021 11594
1 2484 2021 11974
1 2485 2021 11989
1 2486 2021 11580
1 2487 2021 8758
1 2488 2021 8780
1 2489 2021 9904
1 2490 2021 9769
1 2491 2021 10255
1 2492 2021 11597
1 2493 2021 10628
1 2494 2021 11581
1 2495 2021 9812
1 2496 2021 10190
1 2497 2021 10237
1 2498 2021 10622
1 2499 2021 10594
1 2500 2021 9822
1 2501 2021 11987
1 2502 2021 9217
1 2503 2021 7157
1  2021 11950
1 2504 2021 10115
1 2505 2021 12513
1 2506 2021 10451
1 2507 2021 11923
1 2508 2021 11972
1 2509 2021 8712
1 2510 2021 10348
1 2511 2021 12038
1 55 1988 1089
1 39 1988 1072
1 56 1988 899
1 57 1988 904
1 51 1988 1095
1 58 1988 1246
1 59 1988 747
1 60 1988 905
1 61 1988 1554
1 62 1988 29
1 63 1989 1073
1 47 1989 577
1 64 1989 1887
1 65 1989 1082
1 66 1989 1109
1 67 1989 1251
1 68 1989 1079
1 69 1989 1082
1 70 1989 1586
1 71 1989 1072
1 72 1990 1226
1 73 1990 1741
1 74 1990 1094
1 75 1990 1662
1 76 1990 1080
1 77 1990 906
1 78 1990 1259
1 52 1990 1664
1 79 1990 1664
1 80 1990 29
