FID  BirthYear MumID
1 449 1998 2627
1 450 1998 2800
1 451 1998 3123
1 452 1998 3140
1 453 1998 3440
1 454 1998 2623
1 455 1998 3552
1 456 1998 2617
1 457 1998 2421
1 458 1998 2421
1 459 1998 2163
1 460 1998 3571
1 461 1998 3276
1 462 1998 2146
1 463 1998 3222
1 464 1998 3577
1 465 1998 2572
1 466 1998 3202
1 467 1998 2154
1 468 1998 2804
1 469 1998 2847
1 470 1998 2178
1 471 1998 2706
1 472 1998 2409
1 473 1998 3239
1 474 1998 2610
1 475 1998 3214
1 476 1998 2637
1 477 1998 2353
1 478 1998 2353
1 479 1998 3478
1 480 1998 2245
1 481 1998 2821
1 482 1998 2260
1 483 1998 75
1 484 1998 2834
1 485 1998 2834
1 486 1998 3314
1 487 1998 3314
1 488 1998 2853
1 489 1998 2941
1 490 1998 2941
1 491 1998 2073
1 492 1998 2073
1 493 1998 2476
1 494 1998 2640
1 495 1998 2830
1 496 1998 2549
1 497 1998 2611
1 498 1998 3291
1 499 1998 3255
1 500 1998 2275
1 501 1998 2903
1 502 1998 3319
1 503 1998 2401
1 504 1998 3221
1 505 1998 2536
1 506 1998 2697
1 507 1998 2697
1 508 1998 3307
1 509 1998 2262
1 510 1998 2262
1 511 1998 2931
1 512 1998 2375
1 513 1998 2607
1 514 1998 3428
1 515 1998 3223
1 516 1998 2168
1 517 1998 2632
1 518 1998 3242
1 519 1998 2908
1 520 1998 2676
1 521 1998 30
1 522 1998 3443
1 523 1998 2534
1 524 1998 2799
1 525 1998 2167
1 526 1998 3048
1 527 1998 2873
1 528 1998 2898
1 529 1998 3199
1 530 1998 2885
1 531 1998 3282
1 532 1998 3490
1 533 1998 3027
1 534 1998 2843
1 535 1998 2843
1 536 1998 3248
1 537 1998 2906
1 538 1998 3129
1 539 1998 2236
1 540 1998 2376
1 541 1998 3420
1 542 1998 2644
1 543 1998 2683
1 544 1998 2323
1 545 1998 2323
1 546 1998 2892
1 547 1998 3265
1 548 1998 3272
1 549 1998 2069
1 550 1998 2921
1 551 1998 3203
1 552 1998 2361
1 553 1998 3431
1 554 1998 2278
1 555 1998 2703
1 556 1998 3224
1 557 1998 2377
1 558 1998 3111
1 559 1998 2964
1 560 1998 1880
1 561 1998 2292
1 562 1998 2447
1 563 1998 2686
1 564 1998 2686
1 565 1998 2358
1 566 1998 1834
1 567 1998 3273
1 568 1998 2378
1 569 1998 2899
1 570 1998 3232
1 571 1998 2337
1 572 1998 3607
1 573 1998 3592
1 574 1998 2942
1 575 1998 4522
1 576 1998 3198
1 577 1998 2571
1 578 1998 3753
1 579 1998 4304
1 580 1998 1876
1 581 1998 2612
1 582 1998 68
1 583 1998 2071
1 584 1998 3268
1 585 1998 2170
1 586 1998 2545
1 587 1998 3303
1 588 1998 3033
1 589 1998 3786
1 590 1998 57
1 591 1998 3121
1 592 1998 3076
1 593 1998 2698
1 594 1998 3100
1 595 1998 2174
1 596 1998 -2748
1 597 1998 3301
1 598 1998 -2687
1 599 1998 52
1 600 1999 3759
1 601 2000 2262
1 602 2000 3552
1 603 2000 2607
1 604 2000 2834
1 605 2000 3222
1 606 2000 2706
1 607 2000 3885
1 608 2000 3564
1 609 2000 2368
1 610 2000 4250
1 611 2001 2941
1 612 2001 3725
1 613 2001 2364
1 614 2001 3203
1 615 2001 3268
1 616 2001 3968
1 617 2001 2861
1 618 2001 3567
1 619 2001 4217
1 620 2001 4529
1 621 2001 2829
1 622 2001 4395
1 623 2001 3255
1 624 2001 4051
1 625 2001 3589
1 626 2001 2686
1 627 2001 4250
1 628 2001 2597
1 629 2001 2706
1 630 2001 2683
1 631 2001 2460
1 632 2001 3428
1 633 2001 3282
1 634 2001 4243
1 635 2001 3607
1 636 2001 3704
1 637 2001 2847
1 638 2001 4366
1 639 2001 4193
1 640 2001 3255
1 641 2001 3564
1 642 2001 3250
1 643 2001 4158
1 644 2001 3636
1 645 2001 4522
1 646 2001 4522
1 647 2001 4687
1 648 2001 3316
1 649 2001 3121
1 650 2001 4517
1 651 2001 2640
1 652 2001 3316
1 653 2001 4161
1 654 2001 4242
1 655 2001 3488
1 656 2001 4241
1 657 2001 2787
1 658 2001 3738
1 659 2001 3273
1 660 2001 3692
1 661 2001 3692
1 662 2001 4238
1 663 2001 4469
1 664 2001 4169
1 665 2001 3330
1 666 2001 4212
1 667 2001 2931
1 668 2001 2908
1 669 2001 3473
1 670 2001 2607
1 671 2001 4309
1 672 2001 -2680
1 673 2001 4266
1 674 2001 3121
1 675 2001 3202
1 676 2001 53
1 677 2001 4153
1 678 2001 3954
1 679 2001 3248
1 680 2001 3414
1 681 2001 4305
1 682 2001 3771
1 683 2001 3009
1 684 2001 2860
1 685 2001 4239
1 686 2001 4166
1 687 2001 3659
1 688 2001 3659
1 689 2001 3469
1 690 2001 3224
1 691 2001 4183
1 692 2001 3762
1 693 2001 4259
1 694 2001 3748
1 695 2001 3563
1 696 2001 5239
1 697 2001 4364
1 698 2001 4379
1 699 2001 4410
1 700 2001 4445
1 701 2001 4449
1 702 2001 2375
1 703 2001 2379
1 704 2001 2401
1 705 2001 2627
1 706 2001 2707
1 707 2001 2699
